text,label
Ludacris has a record and he has created music.,1
Lisa Kudrow was only an author.,1
Why should I do that ? I'm good at my job ! That's the only important thing !,0
"Taylor Swift was the first act to have three albums sell a million copies within one week in the United States, with the release of 1989.",1
David Schwimmer did the voice of Melman the Giraffe in the opening scene of Madagascar.,1
We ’ Ve invited all our sophomore friends from school .,0
Timon & Pumbaa is an American animated television show.,1
James and the Giant Peach included Morgan Freeman.,1
"25 yuan by air , 13 yuan by sea .",0
What a good idea !,0
Jamie Foxx acted in Annie.,1
"Oh , to rent .",0
A movie starring Tom Hiddleston had a Mexican director.,1
"Yes , there are something good and informative . I think that many people underestimate the value of TV in education .",0
We only need to verify your information against our records .,0
"Sorry , the stacks are closed to undergraduate students .",0
John Lennon was not a member of the Beatles.,1
Avengers: Age of Ultron was released in various forms.,1
You have to send that form in every two weeks so we that we will know what to pay you .,0
"Excuse me , Sir , May I have the time , please ?",0
Should I bring you some water ?,0
I've never done that before . Will I lose all my files ?,0
American Gods (TV series) has a mascot named Fuller.,1
"Providence, Rhode Island was only founded by an atheistic exile.",1
Michael Douglas worked on a 1980's television crime drama.,1
Rob Lowe was in the cast of Brothers and Sisters.,1
Elizabeth I of England was a monarch of the Tudor dynasty.,1
One of the producers of Coldplay is Brian Eno.,1
Great . Here it is .,0
"Yes , and for the first time .",0
We are open from nine to nine . So be sure to be back by then .,0
"The permanent staff can have a paid month-long vacation every year . Besides , they also get chances of free traveling .",0
It's hard to say . But I do love waltz very much .,0
"Tell you what , I ’ ll be calling Jim late this week anyway , so I ’ ll mention it to him then .",0
But I think I can help to fix it .,0
The neighboring country is threatening their sovereignty with its nuclear bombs .,0
Emilio Estevez has worked with other actors.,1
"I got to know your company through such famous brands as LUX , LIPTON and WALLS . After making a customer survey , I was glad to find out how your products are appreciated by millions of Chinese .",0
Paul Bettany's wife is not famous.,1
Where was I going with that.,0
"The Punisher is also called Francis ""Frank"" Castle.",1
Warm Leatherette is by anyone but a Jamaican-born singer.,1
The Black Dahlia is a French-American TV show.,1
The French Open does not take place in Paris.,1
Charlie Sheen is a television actor.,1
"Yes , I have .",0
"In spite of this , international business contracts and arrangement must be precise , specific and all-inclusive to lessen misunderstanding , misconceptions and disagreements to the minimum 。",0
There are three divisions of Davis Entertainment.,1
Good . If you happen to see Jim and Bob on the way see if they would like a game of singsong .,0
Shawn Michaels is a Pisces.,1
"I knew there would be a shower , but I didn't realize it would rain cats and dogs today .",0
That's a completely different argument though.,0
"I think women excel in every sport except the ones that are taboo for us to join in , like football .",0
To Kill a Mockingbird was written by BMW.,1
Thank you very much .,0
Robert Chase is involved in an American medical television show called House.,1
There ’ s a typhoon coming .,0
Pat Riley coached American basketball.,1
Because you ’ d end up spoiled rotten if I wasn ’ t .,0
Moscow is designated as a city.,1
I'm phoning about the job that was in the paper last night .,0
Emma Thompson is a log.,1
"Ok . Next thing is laying the corner-stone for the new plant at 10 AM . At 12 AM , back here for lunch .",0
"We were talking about Wednesday evenings at the library , from seven to eight .",0
Ricky Martin is an actor.,1
I'll need an economy ticket with an open return .,0
Angelina Jolie was in a movie.,1
Portal 2 was released for Wendy's.,1
"Well , that'll teach you to control your temper .",0
Absolutely not ! You are highly contagious ! You don ’ t want to infect the rest of your co-workers do you ? I recommend staying in bed for at least three days and drinking plenty of fluids so you don ’ t get weak and dehydrated . You can catch up on all the latest TV shows and movies !,0
The music of The Amazing Spider-Man 2 was composed by James Vanderbilt.,1
Come on in . Make yourself at home .,0
Chandni is a romantic drama film.,1
Saddam Hussein was the president of Iraq.,1
"Because I ’ m not in the mood , that ’ s why .",0
I really don't know what to buy .,0
I need to order new business cards .,0
Unpredictable was by Jamie foxx.,1
"Honestly speaking , I think the one next to it suits you better .",0
Shawn Michaels is a wrestler.,1
"Oh , yes . I remember your company .",0
Charlie Chaplin's childhood was in Paris.,1
Courteney Cox played Monica Geller.,1
Rafael Nadal is a person who plays tennis.,1
"If I can improve my vertical jump a few more inches , I think beach volleyball might be my ticket .",0
"Don ’ t put me on the spot . You know , I can ’ t do that .",0
Yeah that's true to an extent.,0
Will you please put your luggage on the scale ?,0
"No problem , sir .",0
I see . The plants that fascinate me most are cacti . I find it amazing that they can survive in such dry desert conditions .,0
"The 79th Academy Awards was in Hollywood, Florida.",1
Mike Tyson was a brand of deli meat.,1
Helen Gardner published a second edition of Art Through the Ages in 1956.,1
A loss of supply can involve a constitutional convention.,1
Naomi Watts was in a film.,1
Milla Jovovich had a role in Return to the Blue Lagoon.,1
Would you please let me know when we get to the stop ? I am a stranger here .,0
"You should communicate with the interviewer whose company you are interested in , and make a good impression on him or her . In that case , your chance of success will be greater .",0
A central venous catheter is also referred to as a central line.,1
Jake Gyllenhaal is in La La Land.,1
The Jackson family included American singers and songwriters in 1955.,1
"We put $ 500 into the savings account , and $ 750 into our stock account .",0
"You are late again , Maria . The teacher is about to come .",0
"Actually , it suggest English . The main argument is that English is already being studied as a second language in most countries-china , India , mexico , Nigeria , Pakistan , and japan . So beginning again with a language like Esperanto would be wasteful . The second argument is that English is used in modern technology far more that any other language . Most emails are sent in English and the vast majority of website use English .",0
Rafael Nadal was not a professional tennis player,1
Travis Barker collaborated with others.,1
Mark Cuban is a television personality.,1
I would have never dreamed of ever becoming a bus driver .,0
Queen Victoria's mother was princess.,1
Hope to see you again . We will provide the best service .,0
Sarah Silverman was involved with a film directed by Michael Bay.,1
I'm calling to confirm your booking .,0
I'd argue Messi needed Barcelona's system to reach his potential.,1
Telangana is one of India's states.,1
Northeast megalopolis includes Washington D.C.,1
I ordered dinner about forty minutes ago . It hasn ’ t been delivery yet .,0
Nice to meet you .,0
Algeria is in North America.,1
Star Wars is a franchise based on a movie series by an American filmmaker.,1
"Woo , okay , back up a second , Tracy . That's too direct . Can I suggest you say , please note that final payment is due two working weeks before publication ? You don't want to offend her .",0
Tim Allen rarely starred in Last Man Standing.,1
"It's a long time ago . When I first went to a bar to pick up girls there , I saw the most beautiful girl sitting and sipping a coke . Then I went up to her and said ' can I buy you a drink ? '",0
Michael Schumacher doesn't know how to drive a car.,1
"Jack Paar died on May 27th, 2004.",1
Tiger Woods is incapable of winning anything in golf.,1
"Yes , and I check all the e-mails for Mr . Thomas .",0
"Magazines about fashions , such as Cosmo Polian .",0
Armenia was contained within IIkhanate.,1
Rumi was not an influential theologian.,1
I ’ d be glad to help .,0
You don ’ t need to carry the furniture home because we have delivery service .,0
Toy Story is a movie.,1
Maria Sharapova plays a sport.,1
I really didn't mean to run it .,0
"I know , I know , but if I didn ’ t buy it for him , he ’ d never buy it .",0
Heikegani is native to a sovereign island nation in Cleveland.,1
The Philippines was given its name by an explorer from Spain.,1
Music journalism has another name.,1
Great . I got to try so many things for the first time .,0
"Well , let's see.Why don't we go dancing for a change ? We haven't done that for a long time .",0
Lyndon B. Johnson enacted the Voting Rights Act.,1
"Well , I ’ ll be glad to help you out . We can deliver what you need to your office .",0
Here you are . Thank you and have a nice evening .,0
Backstreet Boys released their 9th album in 2013.,1
I'm really happy that you came to visit me .,0
"No , that ’ s the problem . Though they are well-off , once he dies , his house will go to his cousin . So , when he dies , the girls will have nothing .",0
The Hobbit's genre is juvenile fiction.,1
Easy Virtue was released 53 years after another film of the same name.,1
Judi Dench has worked since at least 1997.,1
Ruth Negga was in the 2016 film Loving.,1
Morrissey was born into an Irish migrant family in 1988.,1
"No , I never do that .",0
The movie Flypaper stars Patrick Dempsey.,1
I ’ m staying right where I ’ m at .,0
"Eddie Vedder is a person in a band from Seattle, Washington.",1
